PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	MANDLER, JM								HOW TO BUILD A BABY .2. CONCEPTUAL PRIMITIVES								PSYCHOLOGICAL REVIEW				99	4			587	604		10.1037/0033-295X.99.4.587				OCT 1992	1992																		0033-295X			WOS:A1992JU94300001	1454900	
J	MARCEL, AJ								CONSCIOUS AND UNCONSCIOUS PERCEPTION - EXPERIMENTS ON VISUAL MASKING AND WORD RECOGNITION								COGNITIVE PSYCHOLOGY				15	2			197	237		10.1016/0010-0285(83)90009-9				1983	1983																		0010-0285			WOS:A1983QW68700002	6617135	
J	MARCEL, AJ								CONSCIOUS AND UNCONSCIOUS PERCEPTION - AN APPROACH TO THE RELATIONS BETWEEN PHENOMENAL EXPERIENCE AND PERCEPTUAL PROCESSES								COGNITIVE PSYCHOLOGY				15	2			238	300		10.1016/0010-0285(83)90010-5				1983	1983																		0010-0285	1095-5623		WOS:A1983QW68700003	6617136	
J	MARKMAN, KD; GAVANSKI, I; SHERMAN, SJ; MCMULLEN, MN								THE MENTAL SIMULATION OF BETTER AND WORSE POSSIBLE WORLDS								JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY				29	1			87	109		10.1006/jesp.1993.1005				JAN 1993	1993																		0022-1031			WOS:A1993KG87200005		
J	MARSLENWILSON, W; TYLER, LK					Marslen-Wilson, William/0000-0003-0690-6308; Tyler, Lorraine/0000-0002-9943-118X			TEMPORAL STRUCTURE OF SPOKEN LANGUAGE UNDERSTANDING								COGNITION				8	1			1	71		10.1016/0010-0277(80)90015-3				1980	1980																		0010-0277	1873-7838		WOS:A1980JK37900001	7363578	
J	Martin, A; Wiggs, CL; Ungerleider, LG; Haxby, JV				martin, alex/B-6176-2009				Neural correlates of category-specific knowledge								NATURE				379	6566			649	652		10.1038/379649a0				FEB 15 1996	1996																		0028-0836			WOS:A1996TV68800055	8628399	
J	MARTIN, A; HAXBY, JV; LALONDE, FM; WIGGS, CL; UNGERLEIDER, LG				martin, alex/B-6176-2009				DISCRETE CORTICAL REGIONS ASSOCIATED WITH KNOWLEDGE OF COLOR AND KNOWLEDGE OF ACTION								SCIENCE				270	5233			102	105		10.1126/science.270.5233.102				OCT 6 1995	1995																		0036-8075			WOS:A1995RY30200043	7569934	
J	Martin, M; Jones, GV								Generalizing everyday memory: Signs and handedness								MEMORY & COGNITION				26	2			193	200		10.3758/BF03201132				MAR 1998	1998																		0090-502X			WOS:000073216700001	9584428	
J	MEDIN, DL; SCHAFFER, MM					Medin, Douglas/0000-0003-4372-7202			CONTEXT THEORY OF CLASSIFICATION LEARNING								PSYCHOLOGICAL REVIEW				85	3			207	238		10.1037/0033-295X.85.3.207				1978	1978																		0033-295X			WOS:A1978FA13700005		
J	MELARA, RD; MARKS, LE								DIMENSIONAL INTERACTIONS IN LANGUAGE PROCESSING - INVESTIGATING DIRECTIONS AND LEVELS OF CROSSTALK								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				16	4			539	554		10.1037/0278-7393.16.4.539				JUL 1990	1990																		0278-7393			WOS:A1990DL94400001	2142951	
J	Millikan, RG				Galantucci, Bruno/E-5770-2010				A common structure for concepts of individuals, stuffs, and real kinds: More Mama, more milk, and more mouse								BEHAVIORAL AND BRAIN SCIENCES				21	1			55	+		10.1017/S0140525X98000405				FEB 1998	1998																		0140-525X			WOS:000074116800031	10097011	
J	MORRIS, CD; BRANSFORD, JD; FRANKS, JJ								LEVELS OF PROCESSING VERSUS TRANSFER APPROPRIATE PROCESSING								JOURNAL OF VERBAL LEARNING AND VERBAL BEHAVIOR				16	5			519	533		10.1016/S0022-5371(77)80016-9				1977	1977																		0022-5371			WOS:A1977EA05100001		
J	MORROW, DG; GREENSPAN, SL; BOWER, GH								ACCESSIBILITY AND SITUATION MODELS IN NARRATIVE COMPREHENSION								JOURNAL OF MEMORY AND LANGUAGE				26	2			165	187		10.1016/0749-596X(87)90122-7				APR 1987	1987																		0749-596X			WOS:A1987G798600003		
J	Murphy, GL								On metaphoric representation								COGNITION				60	2			173	204		10.1016/0010-0277(96)00711-1				AUG 1996	1996																		0010-0277			WOS:A1996VB71300003	8811744	
